Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
103884,0,Ballyoran Community & Arts Group,04/11/2015,Up-to-date,31 March 2019,3575,4668,0,0,0,"14 Rosneath Gardens, Dundonald, Belfast, BT16 1UN",,,02890293737,0,The advancement of citizenship or community development,Older people,"Arts,Community development",
103886,0,Tiddli-Winks Playgroup,09/02/2016,Up-to-date,30 June 2019,42694,44103,0,0,0,"C/O 68 Groomsport Road, Bangor, County Down, BT20 5NE",,pamgibb@sky.com,07929465421,0,The advancement of education,Preschool (0-5 year olds),Education/training,
103887,0,St Patrick's Choral Society,21/12/2015,Up-to-date,31 May 2019,17131,16761,0,0,0,"5 Springhill Park, Downpatrick, County Down, BT30 6RQ",www.stpatrickschoralsociety.co.uk,stpatrickschoral@gmail.com,02844 613145,0,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),Men,Older people,Women,Youth (14-25 year olds)","Arts,Community development,Youth development",
103888,0,Solomon Foundation,01/12/2015,Up-to-date,05 April 2019,4443,112219,0,0,0,"3 Altona Manor, Church Road, Holywood, BT18 9BX",,wgw70@yahoo.com,02890 427201,0,The advancement of religion,"Children (5-13 year olds),General public,Youth (14-25 year olds)",Grant making,
103889,0,Glenullin Childcare Trust,03/11/2015,Up-to-date,31 December 2018,229419,218174,0,0,0,"39 Tirkeeran Road, Garvagh, Coleraine, County Londonderry, BT51 5AX",www.appletreechildcare.co.uk,,07585229732,0,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Parents,Preschool (0-5 year olds)","Education/training,Playgroup/after schools,Rural development,Volunteer development",
103890,0,1St Linn Cub Scouts,18/09/2015,Up-to-date,31 March 2019,5319,2337,0,0,0,"Linn Primary School, 70-74 Killyglen Road, Larne, County Antrim, BT40 2HT",,,02828273159,0,"The advancement of education,The advancement of citizenship or community development",Children (5-13 year olds),"Cross-border/cross-community,Cultural,Education/training,Playgroup/after schools,Sport/recreation",
103891,0,33Rd Belfast Scout Group,19/10/2015,Up-to-date,31 March 2019,3231,2843,0,0,0,"Stormont Presbyterian Church, 618 Upper Newtownards Road, Belfast, BT4 3HH",,,028 9065 6642,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Sport/recreation,Volunteer development,Youth development",
103892,0,Belfast Metropolitan College Trust,12/11/2015,Up-to-date,31 July 2019,6434,18055,0,0,0,"Directorate  Office Level 2 Room 7, Belfast Metropolitan College, Titanic Quarter Campus, 7 Queen's Road, Belfast, BT3 9FQ",www.belfastmet.ac.uk,,02890265167,0,The advancement of education,"Adult training,Youth (14-25 year olds)",Education/training,
103893,0,Northern Ireland Sea Cadet Federation,24/08/2018,Recently registered,31 March 2020,0,0,0,0,0,"Rosaleen, Pound Road, Newry, County Down, BT35 8DS",www.niscf.org.uk,info@niscf.org.uk,02830251144,0,"The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Voluntary and community sector,"General charitable purposes,Grant making,Volunteer development",
103895,0,Holy Cross Accordion Band Atticall,02/12/2015,Up-to-date,31 March 2019,14294,9111,0,0,0,"Atticall Community Centre, Tullyframe Road, Newry, County Down, BT34 4BZ",,,447789623582,0,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),Youth (14-25 year olds)","Arts,Community development,Volunteer development,Youth development",
103896,0,1St Rathfriland Scout Group,07/09/2015,Up-to-date,31 March 2019,1628,1573,0,0,0,"The Scout Hall, School Road, Rathfriland, Co Down, BT34 5QA",,,028 406 30537,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103897,0,Cloughmills Community Action Team,03/11/2015,Up-to-date,31 March 2019,49503,34614,0,0,0,"19 Dowgry Road, Clough, Ballymena, County Antrim, BT44 9SB",www.cloughmills.org.uk,info@cloughmills.org.uk,02827637815,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The advancement of environmental protection or improvement,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Children (5-13 year olds),Community safety/crime prevention,General public,Mental health,Older people,Parents,Youth (14-25 year olds)","Community development,Education/training,Environment/sustainable development/conservation,Medical/health/sickness,Rural development,Volunteer development,Youth development",
103898,0,10Th Belfast Scout Group,07/09/2015,Up-to-date,31 March 2019,18550,13304,0,0,0,"75 Oakland Avenue, Belfast, BT5 3BW",,enquiry@tenth-scouts.co.uk,07501483708,0,The advancement of citizenship or community development,"Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Youth development",
103899,0,Over The Hill Music Collective,04/11/2015,Up-to-date,31 July 2019,16741,15673,0,0,0,"84 Willowbank Gardens, Belfast, BT15 5AJ",www.overthehillbelfast.com,paul@overthehillbelfast.com,07549322067,0,"The advancement of education,The advancement of the arts, culture, heritage or science","General public,Men,Mental health,Older people,Volunteers","Advice/advocacy/information,Arts,Community development,Cultural,Education/training,Volunteer development",
103900,0,The Air Ambulance Northern Ireland,09/09/2015,Up-to-date,31 March 2019,3764026,1497900,0,0,0,"Air Ambulance Ni, 94B Halftown Road, Lisburn, Bt27 5Rf",www.airambulanceni.org,info@airambulanceni.org,07825 201347,0,The advancement of health or the saving of lives,General public,"Medical/health/sickness,Search and rescue",
103901,0,7Th Belfast Scout Group,11/03/2016,Due documents received late,31 December 2018,4659,3947,0,0,0,"109 Old Milltown Road, Belfast, BT8 7SP",www.scoutni.com,info@scoutni.org,02891459088,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103902,0,1St Derriaghy Scout Group,14/09/2015,Up-to-date,31 March 2019,1033,868,0,0,0,"67 Kilwarlin Road, Hillsborough, Co Down, BT26 6EA",www.lisburndistrictscouts.org.uk,derriaghyscouts@gmail.com,02892689839,0,"The advancement of education,The advancement of citizenship or community development",Children (5-13 year olds),"Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103903,0,South Belfast District Scout Council,07/09/2015,Up-to-date,31 March 2019,49989,28184,0,0,0,"C/O The Scout Association, Northern Ireland Scout Council, 109 Old Milltown Road, Belfast, BT8 7SP",,,028 9049 2829,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103904,0,6Th Belfast Scout Group,10/09/2015,Due documents received late,31 August 2018,12342,9149,0,0,0,"Scout Association, 36 Ophir Gardens, Belfast, BT15 5EP",,,02890774866,0,"The advancement of education,The advancement of citizenship or community development",Children (5-13 year olds),Cross-border/cross-community,
103905,0,1St Carrickfergus Scout Group,03/11/2015,Up-to-date,31 March 2019,5212,3966,0,0,0,"7 Glenavon Park, Newtownabbey, County Antrim, BT37 0QP",,patricia.law2010@gmail.com,028 9092 3120,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Education/training,Sport/recreation,Youth development",
103906,0,Newcastle Gospel Hall,08/12/2015,Up-to-date,31 December 2018,55379,49899,0,0,0,"15 Shimna Road, Newcastle, County Down, BT33 0EE",,mourne_cottages@hotmail.com,02843751251,0,The advancement of religion,"Children (5-13 year olds),Men,Overseas/developing countries,Parents,Preschool (0-5 year olds),Women,Youth (14-25 year olds)","Counselling/support,Cross-border/cross-community,Overseas aid/famine relief,Religious activities,Youth development",
103907,0,The Karmel Foundation,27/09/2016,Up-to-date,31 March 2019,0,48,0,0,0,"3 Derrycor Road, Portadown, Craigavon, BT62 1TJ",,thekarmelfoundation@gmail.com,028 87722789,0,"The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Youth (14-25 year olds)","Education/training,General charitable purposes,Sport/recreation,Youth development",
103908,0,1St Maghaberry Scout Group,24/09/2015,Up-to-date,31 March 2019,7392,7397,0,0,0,"2 Gortraney Road, Ballinderry Lower, Lisburn, County Antrim, BT28 2JH",lisburndistrictscouts.org.uk,1stmaghaberry@lisburndistrictscouts.org.uk,02892652044,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103909,0,Banbridge And Moira Riding For Disabled Group,07/01/2016,Up-to-date,31 March 2019,1084,2223,0,0,0,"1 Front Road, Lisburn, County Antrim, BT27 5JZ",http://www.ridingforthedisabledni.org.uk/,l_robinson2@icloud.com,0044 2894 423716,0,"The advancement of health or the saving of lives,The advancement of amateur sport,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Learning disabilities,Men,Mental health,Physical disabilities,Sensory disabilities,Volunteers,Women,Youth (14-25 year olds)","Disability,Volunteer development",
103910,0,Evangelize China Fellowship British Committee,01/09/2016,Due documents received late,01 April 2019,3532,3567,0,0,0,"1 Beech Grove, Larne, County Antrim, BT40 2DL",www.ecfusa.org,jhnhzl@btinternet.com,02828279968,0,The advancement of religion,"Addictions (drug/solvent/alcohol abuse),Adult training,Children (5-13 year olds),Homelessness,Men,Older people,Specific areas of deprivation,Unemployed/low income,Volunteers,Women,Youth (14-25 year olds)","Education/training,Medical/health/sickness,Overseas aid/famine relief,Relief of poverty,Religious activities",
103911,0,Ni Children To Lapland And Days To Remember Trust,09/09/2015,Due documents received late,31 October 2018,129901,131913,0,0,0,"5 Lowrys Farm, Bangor, BT19 1HS",www.niclt.org,info@niclt.org,07855331880,0,"The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Parents,Preschool (0-5 year olds),Youth (14-25 year olds)","Disability,Medical/health/sickness,Sport/recreation,Welfare/benevolent",
103912,0,Newcastle Preschool Playgroup,13/01/2016,Up-to-date,31 May 2019,43880,41061,0,0,0,"Newcastle Preschool Playgroup, 10-14 Central Promenade, BT33 0AA",,newcastlepreschoolplaygroup@live.co.uk,+442843725034,0,The advancement of education,"Adult training,Carers,Learning disabilities,Parents,Physical disabilities,Preschool (0-5 year olds),Sensory disabilities,Unemployed/low income,Volunteers,Women","Advice/advocacy/information,Education/training,Playgroup/after schools",
103914,0,78Th Belfast Scout Group,09/09/2015,Up-to-date,31 August 2018,3917,4054,0,0,0,"487 Antrim Road, Belfast, BT15 3BP",,ajmblrc@icloud.com,02890860290,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103915,0,Boho Community Association,02/03/2016,Up-to-date,31 December 2018,23761,14993,0,0,0,"Boho Community Hall, 184 Boho Road, Tullyholvin Upper, Boho, Enniskillen, BT74 5BE",,,02866341374,0,"The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Men,Older people,Women","Community development,Education/training,Welfare/benevolent",
103916,0,1St Cullybackey Scout Group,21/09/2015,Due documents received late,31 December 2018,16973,11821,0,0,0,"49 Ballybollen Road, Ahoghill, Ballymena, County Antrim, BT42 2RF",cullybackeyscoutgroup.btck.co.uk,scoutgroupcullybackey@yahoo.co.uk,077 6972 6257,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Sport/recreation,Volunteer development,Youth development",
103917,0,6Th Lisburn Scout Group,09/09/2015,In default,31 December 2017,1753,1668,0,0,0,"St Columba's Church, Killaney Avenue, Old Warren, Lisburn, County Antrim, BT28 1PX",,,07734543182,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103918,0,S.A.L.T Community Association,09/02/2016,Due documents received late,31 October 2018,3533,4517,0,0,0,"Salt Community Hall, 305A Longland Road, Claudy, Londonderry, BT47 4AH",,wth1948@hotmail.co.uk,07714989345,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","General public,Older people,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Relief of poverty,Volunteer development",
103919,0,Larne Sea Cadets,11/09/2015,Up-to-date,31 March 2019,22247,13301,0,0,0,"21 Craigyhill Bungalows, Larne, BT40 2EQ",www.sea-cadets.org/larne,admin@abercorn.org,07582871282,0,"The advancement of education,The advancement of citizenship or community development","Adult training,Volunteers,Youth (14-25 year olds)","Cross-border/cross-community,Education/training,Sport/recreation,Volunteer development,Youth development",
103920,0,West Belfast District Scout Council,10/09/2015,Up-to-date,31 March 2019,28890,44487,0,0,0,"8 Dorchester Gardens, Newtownabbey, County Antrim, BT36 5JJ",,,07775573349,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Cultural,Education/training,Volunteer development,Youth development",
103921,0,Richhill School Of Music Association,17/12/2015,Up-to-date,30 April 2019,0,0,0,0,0,"25A Irish Street, Richhill, County Armagh, BT61 9PS",www.richhillschoolofmusic.com,rsm.assoc@gmail.com,07710 331567,0,"The advancement of education,The advancement of the arts, culture, heritage or science","Adult training,Children (5-13 year olds),Men,Parents,Women,Youth (14-25 year olds)","Community development,Education/training",
103922,0,1St Dromore Scout Group,16/09/2015,Up-to-date,31 March 2019,9573,9261,0,0,0,"Scout Hall, Mossvale Road, Dromore, County Down, BT25 1DG",,,07740554408,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103923,0,Autism Families Community Support Group,26/01/2016,Up-to-date,30 June 2019,17627,23499,0,0,0,"8 Neills Avenue, Loughgilly, Armagh, BT60 2DA",,autismfamilies@outlook.com,07764189449,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Carers,Children (5-13 year olds),Learning disabilities,Mental health,Parents,Preschool (0-5 year olds),Sensory disabilities,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Disability,Education/training",
103924,0,Hope 4 Ur Life Limited,02/11/2015,Due documents received late,30 November 2018,72790,73650,0,0,0,"Units 2, 3 & 5 North City Business, 2 Duncairn Gardens, Duncrue Industrial Estate, Belfast, BT15 2GG",,dee@hope4lifeni.org.uk,02896001707,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Asylum seekers/refugees,Community safety/crime prevention,Ex-offenders and prisoners,Mental health,Older people,Parents,Travellers,Victim support,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Criminal justice,Cross-border/cross-community,Disability,Education/training,Medical/health/sickness,Youth development",
103925,0,44Th (Malone)Belfast Scout Group,29/09/2015,Up-to-date,31 March 2019,1221,2767,0,0,0,"C/O Malone Presbyterian Church, 452 Lisburn Road, Belfast, BT9 6GT",,,07823498666,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103926,0,Girlguiding South Down,28/09/2015,Up-to-date,31 August 2018,5292,6688,0,0,0,"30 Station Road, Holywood, BT18 0BP",www.girlguidingulster.org.uk,girlguidingsouthdown@gmail.com,02890425212,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
103927,0,Jigsaw Community Counselling Centre,06/10/2016,Up-to-date,31 December 2019,236729,244665,0,0,0,"57 Squires View, Belfast, BT14 8FS",www.jigsawccc.co.uk,carol@jigsawccc.co.uk,07779990174,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives","Addictions (drug/solvent/alcohol abuse),Children (5-13 year olds),General public,Homelessness,Interface communities,Men,Mental health,Older people,Parents,Preschool (0-5 year olds),Sexual orientation,Specific areas of deprivation,Unemployed/low income,Women,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Cross-border/cross-community,Volunteer development",
103928,0,Ballydown Rainbows,28/09/2015,Up-to-date,31 December 2018,4558,4558,0,0,0,"The Guide Association, 30 Station Road, Holywood, County Down, BT18 0BP",www.girlguidingulster.org.uk,,02890425212,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
103929,0,2Nd Banbridge Scout Group,21/09/2015,Up-to-date,31 March 2019,4513,9094,0,0,0,"98 Chinauley Park, Banbridge, BT32 4JL",,,07808593696,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103930,0,Girlguiding North Antrim,25/09/2015,Up-to-date,31 December 2019,5806,11195,0,0,0,"The Guide Association, 30 Station Road, Holywood, County Down, BT18 0BP",www.girlguidingnorthantrim.weebly.com,info@girlguidingulster.org.uk,02890425212,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Women,Youth (14-25 year olds)","Education/training,Gender,Sport/recreation,Volunteer development,Youth development",
103932,0,Belmore Trust Ltd,13/11/2015,Up-to-date,31 March 2019,38359,98797,0,0,0,"157 Finaghy Road South, Belfast, BT10 0DA",,,02892683812,0,"The prevention or relief of poverty,The advancement of religion,The advancement of health or the saving of lives","Adult training,Children (5-13 year olds),Language community,Learning disabilities,Older people,Overseas/developing countries,Physical disabilities,Youth (14-25 year olds)","Accommodation/housing,Counselling/support,Disability,Education/training,Grant making,Medical/health/sickness,Overseas aid/famine relief,Relief of poverty,Religious activities,Welfare/benevolent,Youth development",
103933,0,Larne Choral Society,18/09/2015,Up-to-date,31 March 2019,3813,5143,0,0,0,"2 Duneira Park, Larne, BT40 1PF",,sarahnixon358@hotmail.com,028 28274291,0,"The advancement of the arts, culture, heritage or science",General public,"Arts,Cultural",
103935,0,1St Armagh And Explorer Scout Unit,16/09/2015,Up-to-date,31 March 2019,15796,8301,0,0,0,"Royal School, College Hill, Armagh, BT61 9DH",,,07771 705 688,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)",Youth development,
103936,0,Cabra Community Association,16/12/2015,Up-to-date,31 March 2019,9324,7530,0,0,0,"130 Castlewellan Road, Cabra, Newry, Down, BT34 5RM",,,028 4063 0126,0,"The advancement of education,The advancement of citizenship or community development,Other charitable purposes","Adult training,General public,Older people","Community development,Education/training,General charitable purposes,Rural development,Sport/recreation",
103937,0,Lisburn Sea Cadets,18/11/2015,Up-to-date,31 March 2019,46119,40493,0,0,0,"Bridge Community Centre, 50 Railway Street, Lisburn, Co Antrim, BT28 1XP",http://www.tsulster.org.uk,info@tsulster.org.uk,028 9290 0852,0,"The advancement of education,The advancement of citizenship or community development","Adult training,Children (5-13 year olds),Community safety/crime prevention,Learning disabilities,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Cross-border/cross-community,Disability,Education/training,General charitable purposes,Sport/recreation,Volunteer development,Youth development",
103938,0,Mid Antrim Beekeepers' Association,21/03/2016,Up-to-date,01 December 2019,6113,5343,0,0,0,"63 Drones Road, Armoy, BT53 8YP",http://www.ubka.org,midantrimbka@btinternet.com,07845450523,0,"The advancement of education,The advancement of environmental protection or improvement,The advancement of animal welfare","Adult training,General public,Men,Older people,Unemployed/low income,Voluntary and community sector,Volunteers,Women","Animal welfare,Education/training,Environment/sustainable development/conservation,General charitable purposes,Volunteer development",
103939,0,Kesh Development Association Charitable Trust,19/11/2015,Up-to-date,31 December 2018,21194,17961,0,0,0,"6 Mantlin Road, Rosscolban, Kesh, Enniskillen, BT93 1AP",,kdact@talk21.com,02868632158,0,The advancement of citizenship or community development,"Adult training,Children (5-13 year olds),Community safety/crime prevention,General public,Mental health,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Unemployed/low income,Voluntary and community sector","Community development,Community enterprise,Cross-border/cross-community,Disability,Education/training,General charitable purposes,Grant making,Medical/health/sickness,Relief of poverty,Rural development,Volunteer development",
103940,0,48Th West Belfast Scout Group,06/10/2015,Up-to-date,31 March 2019,5124,3889,0,0,0,"35 Woodvale Road, Belfast, BT13 3BN",,,02890744008,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Sport/recreation,Volunteer development,Youth development",
103941,0,Armagh District Scout Council,17/09/2015,In default,22 August 2017,3050,3050,0,0,0,"Headmasters House Royal School, College Hill, Armagh, BT61 9DF",,michael.curran@btinternet.com,02837520306,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Sport/recreation,Volunteer development,Youth development",
103942,0,Acts Of Mercy,17/11/2015,Up-to-date,30 June 2019,1813,2495,0,0,0,"9 Downview Crescent, Ballymoney, County Antrim, BT53 6BB",,bluemountains@btinternet.com,02827666545,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion","Adult training,General public,Overseas/developing countries","Education/training,Religious activities",
103943,0,1St Banbridge Scout Group,17/09/2015,Up-to-date,31 March 2019,2382,2436,0,0,0,"74 Bramblewood Drive, Banbridge, County Down, BT32 4RA",,,07887 950260,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103944,0,The Canoe Association Of Northern Ireland,09/05/2016,Up-to-date,31 March 2019,292983,290437,0,0,0,"C A N I, Belfast Boat Club, 12 Lockview Road, Belfast, BT9 5FJ",www.cani.org.uk,office@cani.org.uk,02895438094,0,"The advancement of citizenship or community development,The advancement of amateur sport","Children (5-13 year olds),Men,Older people,Parents,Volunteers,Women,Youth (14-25 year olds)","Community development,Sport/recreation",
103945,0,Frontline Development,25/01/2016,Up-to-date,31 October 2018,87989,77357,0,0,0,"6 Lambert Avenue, Dundonald, Belfast, BT16 1LE",www.frontlinedevelopment.org.uk,info@frontlinedevelopment.org.uk,02890483075,30093,"The prevention or relief of poverty,The advancement of education","Children (5-13 year olds),Overseas/developing countries,Unemployed/low income,Youth (14-25 year olds)","Education/training,General charitable purposes,Relief of poverty,Rural development",
103946,0,90Th Belfast Air Scout Group,02/10/2015,Up-to-date,31 March 2019,6339,5099,0,0,0,"2 Ashley Gardens, Dunmurry, Belfast, BT17 9FB",,,07718658649,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103947,0,South Down District Scout Council,18/09/2015,Up-to-date,31 March 2019,17853,14329,0,0,0,"Holy Trinity Church, Church Street, Banbridge, County Down, BT32 4AA",,,028 4062 4783,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103948,0,The Governors Of The Armagh Observatory And Planetarium,01/04/2016,Up-to-date,31 March 2019,2574744,2897663,0,0,0,"Armagh Observatory, College Hill, Armagh, BT61 9DG",www.armagh.space,info@armaghplanet.com,028 3752 2928,0,"The advancement of education,The advancement of the arts, culture, heritage or science",General public,"Arts,Cultural,Education/training,General charitable purposes,Heritage/historical,Research/evaluation",
103949,0,7Th Larne Scout Group,09/10/2015,Up-to-date,31 March 2019,2807,3060,0,0,0,"Old Pres Church Larne & Kilwaughter, 5 Ballymena Road, Larne, County Antrim, BT40 2WQ",www.larnescouts/btck.co.uk,,028 2827 4154,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103950,0,Amelia Earhart Steam Zone,21/04/2016,Due documents received late,31 December 2018,147,0,0,0,0,"Amelia Earhart Steam Zone, C/Ó Virtual Tenancy - Ni Science Pa, Bay Road, Derry Londonderry, BT48 7TG",,ameliaearhartsteamzone@gmail.com,02871311060,0,"The advancement of education,The advancement of citizenship or community development","Asylum seekers/refugees,Carers,Children (5-13 year olds),Community safety/crime prevention,Ethnic minorities,Ex-offenders and prisoners,General public,Homelessness,Interface communities,Language community,Learning disabilities,Men,Mental health,Parents,Preschool (0-5 year olds),Sensory disabilities,Sexual orientation,Specific areas of deprivation,Tenants,Travellers,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Arts,Community development,Community enterprise,Counselling/support,Criminal justice,Cross-border/cross-community,Cultural,Economic development,Education/training,Gender,General charitable purposes,Heritage/historical,Human rights/equality,Medical/health/sickness,Playgroup/after schools,Relief of poverty,Research/evaluation,Rural development,Urban development,Volunteer development,Youth development",
103951,0,1St Magherally Scout Group,23/09/2015,Up-to-date,31 March 2019,1170,3541,0,0,0,"5 Valley Road, Banbridge, County Down, BT32 4HP",,,02840629989,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Youth (14-25 year olds)","Community transport,Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
103952,0,Ballymena North Partnership Limited,29/02/2016,Up-to-date,31 March 2019,177280,193042,0,0,0,"Ballymena North Business &, Recreation Centre, 120 Cushendall Road, Ballymena, County Antrim, BT43 6HB",,ballymena-north@btconnect.com,028 25235065,0,"The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,Other charitable purposes","General public,Preschool (0-5 year olds),Unemployed/low income,Voluntary and community sector","Community development,Education/training,Sport/recreation",
103953,0,Armagh/Kildarton/Armagh/Church Of Ireland,02/10/2015,Up-to-date,31 December 2018,74559,79519,0,0,0,"C/O Rachel Calvin, 111 Hamiltonsbawn Road, Armagh, BT60 1LY",,,02837 551539,0,The advancement of religion,General public,Religious activities,
103954,0,Lisnadill/St Johns/Armagh/Church Of Ireland,22/09/2015,Up-to-date,31 December 2018,45444,43686,0,0,0,"8 Letmacollum Rd, Armagh, County Armagh, BT60 2AP",,,02837524383,0,The advancement of religion,General public,Religious activities,
103955,0,Killylea/St Marks/Armagh/Church Of Ireland,25/09/2015,Up-to-date,31 December 2018,62307,55607,0,0,0,"154 Killylea Road, Armagh, BT60 4LN",,,02837568874,0,The advancement of religion,General public,Religious activities,
103956,0,Glengormley Free Methodist Church,07/06/2016,Up-to-date,31 December 2018,44513,43977,0,0,0,"Glengormley Free Methodist Church, 52 Ballyclare Road, Newtownabbey, County Antrim, BT36 5HL",,rachael.neill1@gmail.com,02890832273,0,"The advancement of religion,The advancement of citizenship or community development","Children (5-13 year olds),General public,Older people,Overseas/developing countries,Physical disabilities,Women","Counselling/support,Disability,Education/training,General charitable purposes,Overseas aid/famine relief,Playgroup/after schools,Relief of poverty,Religious activities",
103957,0,1St Muckamore Scout Group,09/10/2015,Up-to-date,31 December 2018,4500,3906,0,0,0,"172A Largy Road, Ahoghill, Bt42 2Rq, BT42 2RQ",,,07816582598,0,"The advancement of education,The advancement of citizenship or community development","Children (5-13 year olds),Volunteers,Youth (14-25 year olds)","Cross-border/cross-community,Cultural,Sport/recreation,Youth development",
